SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
512608,BHANDARI HOS,B ,Q,3.35,3.35,3.02,3.07,3.07,3.23,59,74594,233656.00,
512624,REGENTRP    ,SS,Q,4.42,4.42,4.41,4.41,4.41,4.90,10,4085,18025.00,
512634,SAVERA IND  ,X ,Q,79.95,79.95,79.95,79.95,79.95,78.45,2,11,879.00,
513005,VBC FERRO   ,XT,Q,49.50,49.50,49.50,49.50,49.50,47.15,6,1062,52569.00,
513010,TATA SPONGE ,A ,Q,1035.00,1091.70,1015.10,1081.40,1081.40,1029.65,2826,39639,42171202.00,
513023,NAV BHAR VEN,A ,Q,138.65,140.40,138.20,139.55,139.90,138.60,143,9176,1278377.00,
513043,REMI EDEL   ,X ,Q,35.00,35.00,32.00,35.00,35.00,33.85,6,12,402.00,
513059,G.S.AUTO INT,X ,Q,14.50,14.50,13.42,13.97,13.97,13.70,11,2910,40514.00,
513063,TRANSFREIGHT,XT,Q,15.30,15.30,14.15,14.50,14.50,14.85,16,945,13680.00,
513097,SHIV.BIMETAL,X ,Q,120.05,123.90,119.10,122.65,122.65,121.70,155,13302,1621668.00,
513108,GANDHI SP.TU,B ,Q,396.00,404.00,390.00,397.10,393.00,387.85,83,1783,709740.00,
513121,ORICON ENT  ,B ,Q,62.05,63.50,60.25,61.25,61.25,60.05,1392,219650,13507438.00,
513142,BALASORE    ,X ,Q,63.50,63.60,61.55,62.55,62.55,62.45,639,115299,7214160.00,
513149,ACROW INDIA ,XT,Q,121.25,121.25,121.00,121.00,121.00,127.25,3,179,21671.00,
513179,NAT STL AGRO,B ,Q,34.00,34.00,32.60,33.00,32.85,33.35,34,5850,193130.00,
513216,UTTAM GALVA ,T ,Q,12.95,13.55,12.60,13.55,13.55,12.95,2118,266468,3576167.00,
513228,PENNAR STEEL,B ,Q,53.45,53.95,52.30,52.45,52.45,53.40,365,69389,3671687.00,
513250,JYOTI STRUCT,Z ,Q,7.08,7.08,7.08,7.08,7.08,6.75,20,10584,74934.00,
513252,JAY USHIN   ,XT,Q,629.95,629.95,575.50,614.95,614.95,600.00,9,152,89681.00,
513262,ST.STR.WHEEL,B ,Q,1130.05,1190.00,1130.05,1176.60,1166.00,1144.35,83,343,398950.00,
513269,MAN IND.(I) ,B ,Q,138.00,145.40,136.40,142.70,142.70,137.55,1152,106373,15076190.00,
513291,PREM PIPES  ,XT,Q,3.20,3.20,3.20,3.20,3.20,3.20,1,400,1280.00,
513295,RUCHI STR AL,XT,Q,1.33,1.33,1.33,1.33,1.33,1.40,1,200,266.00,
